distrito,muni,localida,pobtotal,vp,vpcontv
2,14,3,223,56,42
2,14,4,166,41,18
2,14,5,262,92,67
2,14,6,380,90,44
2,14,7,204,68,44
2,14,8,26,7,3
2,14,9,26,7,0
2,14,10,12,5,0
2,14,11,9,3,1
2,14,12,11,4,1
2,14,13,50,12,6
2,14,14,21,10,4
2,14,15,7,4,2
2,14,16,15,4,0
2,14,17,7,4,1
2,15,1,701,70,47
2,15,2,148,17,5
2,15,3,46,8,0
2,15,4,161,22,13
2,15,5,103,13,6
2,15,6,152,18,10
2,15,7,200,22,13
2,15,8,136,11,7
2,15,9,265,21,12
2,15,10,313,36,23
2,16,1,287,78,34
2,16,2,127,32,11
2,16,3,61,13,5
2,16,4,61,13,6
2,16,5,26,6,3
2,17,1,2140,441,385
2,17,2,482,94,55
2,18,1,1515,376,292
2,18,2,47,12,9
2,19,1,1221,263,204
2,19,2,131,22,16
2,19,3,686,132,94
2,19,4,228,38,28
2,19,5,48,8,2
2,19,6,47,7,0
2,19,7,28,5,2
2,20,1,859,202,172
2,20,2,482,97,82
2,21,1,1547,424,323
2,21,2,291,89,62
2,21,3,152,40,18
2,21,4,211,48,28
2,21,5,267,90,68
2,21,6,340,93,59
2,21,7,265,83,39
2,21,8,369,123,94
2,21,9,112,31,17
2,21,10,89,22,14
2,21,11,5,4,1
2,21,12,88,20,14
2,21,13,88,24,15
2,21,14,31,7,0
2,21,15,55,14,8
2,21,16,70,25,6
2,21,17,8,4,2
2,21,18,33,8,3
2,21,19,36,10,4
2,21,20,46,8,4
2,21,21,12,4,0
2,21,22,16,5,0
2,21,23,25,8,0
2,21,24,25,5,5
2,21,25,6,3,1
2,21,26,43,9,6
2,21,27,72,15,8
2,21,28,8,3,0
2,22,1,1467,333,303
2,22,2,305,67,62
2,22,3,152,39,32
2,22,4,164,40,35
2,22,5,173,36,32
2,22,6,206,37,24
2,22,7,661,124,61
2,22,8,291,53,33
2,22,9,43,12,5
2,22,10,220,51,39
2,22,11,76,16,13
2,22,12,23,6,5
2,22,13,10,3,0
2,22,14,116,28,25
2,22,15,70,15,14
2,23,1,339,91,58
2,23,2,49,14,3
2,24,1,2344,606,532
2,24,2,844,140,59
2,24,3,261,47,19
2,24,4,2310,329,236
2,24,5,1071,263,217
2,24,6,160,25,15
2,24,7,12,3,1
2,24,8,85,12,8
2,24,9,39,6,3
2,24,10,64,11,0
2,24,11,15,3,3
2,24,12,76,18,16
2,24,13,17,3,2
2,25,1,510,135,104
2,26,1,512,56,25
2,26,2,141,25,1
2,26,3,200,32,9
2,26,4,25,6,1
2,26,5,20,3,0
2,26,6,208,31,5
2,26,7,350,54,30
2,27,1,2375,572,505
2,27,2,468,83,33
2,27,3,527,128,112
2,27,4,353,95,77
2,27,5,324,73,39
2,27,6,233,62,52
2,27,7,86,23,14
2,27,8,741,146,82
2,27,9,308,48,22
2,27,10,301,73,51
2,27,11,756,161,91
2,27,12,366,74,32
2,27,13,168,33,13
2,27,14,264,60,48
2,27,15,713,214,77
2,27,16,377,73,26
2,27,17,753,186,119
2,27,18,2459,432,231
2,27,19,38,11,3
2,27,20,117,17,6
2,27,21,63,12,10
2,27,22,232,39,9
2,27,23,10,3,0
2,27,24,22,5,4
2,27,25,50,9,3
2,27,26,24,4,4
2,27,27,38,8,5
2,27,28,131,25,20
2,27,29,34,5,1
2,28,1,1472,292,261
2,28,2,76,14,10
2,28,3,13,4,4
3,1,1,333,100,44
3,1,2,191,41,1
3,1,3,43,10,2
3,1,4,180,37,8
3,1,5,127,37,6
3,1,6,18,5,1
3,1,7,36,8,0
3,1,8,18,6,0
3,2,1,108,32,17
3,3,1,319,96,55
3,3,2,18,5,0
3,4,1,314,78,12
3,4,2,80,16,6
3,4,3,45,11,0
3,5,1,979,251,156
3,5,2,155,37,13
3,5,3,359,98,58
3,5,4,382,99,24
3,5,5,140,41,16
3,5,6,100,29,10
3,5,7,185,53,15
3,5,8,76,18,0
3,5,9,25,7,1
3,5,10,11,3,0
3,5,11,31,10,6
3,5,12,24,7,1
3,5,13,70,15,3
3,5,14,11,3,0
3,5,15,36,11,1
3,5,16,68,15,0
3,5,17,38,12,6
3,5,18,16,4,0
3,5,19,21,5,0
3,5,20,84,24,0
3,5,21,130,33,0
3,5,22,135,33,0
3,5,23,69,21,4
3,5,24,22,7,1
3,5,25,13,3,2
3,5,26,19,5,4
3,5,27,24,6,0
3,6,1,225,62,35
3,6,2,25,7,5
3,7,1,505,139,40
3,7,2,155,44,8
3,7,3,197,48,11
3,7,4,157,39,10
3,7,5,15,3,2
3,7,6,9,3,0
3,8,1,297,100,53
3,8,2,25,9,3
3,8,3,7,3,0
3,8,4,17,5,4
3,8,5,16,5,0
3,8,6,24,7,5
3,8,7,19,3,0
3,8,8,27,8,1
3,9,1,223,73,22
3,9,2,246,49,20
3,9,3,221,66,21
3,9,4,16,5,0
3,9,5,21,4,1
3,9,6,13,4,0
3,9,7,10,3,0
3,9,8,19,4,0
3,10,1,327,91,42
3,10,2,113,23,2
3,10,3,152,44,10
3,10,4,9,3,1
3,11,1,97,30,9
3,11,2,39,15,8
3,11,3,4,3,0
3,12,1,702,201,85
3,12,2,65,13,0
3,12,3,31,4,0
3,12,4,152,45,9
3,12,5,96,21,5
3,12,6,27,8,4
3,12,7,88,25,12
3,12,8,76,19,7
3,12,9,51,10,0
3,12,10,33,7,0
3,12,11,10,4,0
3,12,12,45,12,0
3,12,13,44,9,5
3,12,14,73,15,5
3,12,15,21,6,0
3,12,16,14,6,0
3,12,17,36,8,0
3,13,1,415,131,39
3,13,2,59,18,2
3,13,3,10,2,0
3,13,4,30,6,3
4,1,1,716,174,49
4,1,2,206,46,4
4,1,3,675,141,6
4,1,4,130,27,1
4,1,5,299,67,4
4,1,6,76,14,0
4,1,7,57,16,1
4,1,8,172,45,2
4,1,9,300,65,2
4,1,10,51,11,0
4,1,11,125,27,8
4,1,12,53,12,1
4,1,13,44,7,2
4,1,14,18,4,0
4,1,15,48,8,0
4,1,16,58,14,0
4,1,17,163,42,3
4,1,18,224,49,5
4,1,19,167,31,0
4,1,20,93,17,1
4,1,21,217,43,3
4,1,22,19,4,1
4,1,23,89,19,0
4,1,24,91,26,2
4,1,25,58,13,0
4,2,1,1684,316,64
4,2,2,1404,283,36
4,2,3,96,19,6
4,2,4,391,76,7
4,2,5,137,27,3
4,2,6,154,33,3
4,2,7,70,16,3
4,2,8,217,41,12
4,2,9,235,45,4
4,2,10,26,4,0
4,2,11,174,36,6
4,2,12,819,173,18
4,2,13,149,27,2
4,2,14,65,14,0
4,2,15,227,42,4
4,2,16,54,11,0
4,2,17,114,21,0
4,2,18,82,16,3
4,2,19,85,17,1
4,2,20,384,66,8
4,3,1,9458,1940,1301
4,3,2,119,35,12
4,3,3,424,90,33
4,3,4,745,170,29
4,3,5,623,137,28
4,3,6,593,122,33
4,3,7,917,206,94
4,3,8,788,168,62
4,3,9,305,68,14
4,3,10,100,24,0
4,3,11,1074,239,47
4,3,12,296,67,16
4,3,13,2652,625,230
4,3,14,413,90,28
4,3,15,1820,417,95
4,3,16,1466,282,25
4,3,17,145,32,9
4,3,18,205,48,10
4,3,19,175,39,13
4,3,20,303,66,24
4,3,21,123,29,7
4,3,22,432,77,23
4,3,23,55,15,8
4,3,24,132,32,12
4,3,25,176,38,1
4,3,26,158,32,4
4,3,27,13,3,2
4,3,28,67,19,2
4,3,29,217,43,0
4,3,30,10,3,0
4,3,31,228,45,8
4,3,32,154,28,6
4,3,33,310,67,6
4,3,34,218,47,15
4,3,35,62,14,5
4,3,36,101,19,7
4,3,37,98,26,4
4,3,38,52,11,0
4,3,39,44,14,0
4,3,40,343,77,12
4,3,41,135,26,6
4,3,42,135,39,11
4,3,43,177,39,18
4,3,44,130,34,5
4,3,45,272,58,19
4,3,46,348,73,15
4,3,47,139,32,6
4,3,48,284,61,7
4,3,49,203,53,7
4,3,50,67,13,0
4,3,51,48,11,4
4,3,52,72,16,4
4,3,53,79,22,3
4,3,54,83,17,4
4,3,55,45,13,0
4,3,56,70,18,2
4,3,57,57,12,0
4,3,58,181,39,18
4,3,59,71,15,1
4,3,60,45,9,1
4,3,61,201,38,12
4,3,62,62,13,0
4,3,63,19,5,0
4,3,64,65,10,4
4,3,65,88,22,2
4,3,66,162,35,3
4,3,67,96,23,7
4,3,68,37,12,5
4,3,69,44,11,2
4,3,70,38,12,2
4,3,71,125,25,3
4,3,72,35,7,0
4,3,73,65,13,4
4,3,74,71,18,2
4,3,75,78,21,10
4,3,76,29,8,1
4,3,77,88,21,3
4,3,78,16,3,1
4,3,79,35,10,4
4,3,80,38,10,2
4,3,81,237,52,12
4,3,82,10,3,0
4,3,83,69,15,7
4,3,84,174,36,9
4,3,85,63,12,3
4,3,86,55,9,1
4,3,87,22,5,0
4,3,88,51,10,2
4,3,89,83,20,5
4,3,90,70,14,2
4,3,91,129,27,8
4,3,92,100,21,4
4,3,93,11,3,0
4,3,94,89,20,1
4,3,95,54,6,0
4,3,96,27,6,2
4,3,97,44,12,4
4,3,98,15,3,0
4,3,99,62,13,3
4,3,100,21,7,4
4,4,1,998,220,66
4,4,2,983,198,13
4,4,3,224,50,11
4,4,4,430,83,13
4,4,5,115,31,2
4,4,6,110,27,2
4,4,7,96,22,4
4,4,8,340,70,19
4,4,9,214,43,2
4,4,10,92,24,5
4,4,11,96,20,5
4,4,12,456,97,5
4,4,13,542,95,5
4,4,14,216,38,3
4,4,15,109,23,0
4,4,16,253,48,10
4,4,17,58,10,4
4,4,18,202,46,18
4,4,19,246,48,2
4,4,20,157,33,9
4,4,21,56,12,3
4,4,22,374,80,17
4,4,23,230,39,12
4,4,24,126,27,2
4,4,25,252,54,6
4,4,26,301,59,13
4,4,27,236,52,1
4,4,28,334,77,1
4,4,29,304,63,21
4,4,30,56,14,3
4,4,31,247,49,9
4,4,32,173,29,5
4,4,33,366,85,7
4,4,34,135,34,3
4,4,35,41,10,2
4,4,36,232,55,0
4,4,37,58,12,1
4,4,38,113,27,3
4,4,39,83,19,3
4,4,40,28,7,1
4,4,41,59,12,0
4,4,42,25,6,0
4,4,43,20,3,0
4,4,44,29,8,2
4,4,45,122,28,6
4,4,46,74,14,3
4,4,47,20,3,1
4,4,48,35,6,1
4,4,49,65,13,0
4,4,50,161,33,5
4,4,51,105,23,2
4,4,52,87,14,5
4,4,53,67,13,2
4,4,54,20,6,1
4,4,55,53,9,0
4,4,56,61,16,2
4,4,57,92,18,0
4,4,58,32,7,4
4,4,59,197,40,3
4,4,60,137,29,6
4,4,61,54,13,3
4,4,62,218,47,8
4,4,63,55,15,1
4,4,64,44,11,1
4,4,65,52,10,4
4,4,66,164,38,6
4,4,67,31,9,5
4,4,68,45,8,1
4,4,69,197,50,16
4,4,70,91,20,4
4,4,71,170,42,16
4,4,72,21,4,3
4,4,73,56,10,2
4,4,74,111,26,1
4,4,75,60,12,3
4,4,76,140,26,5
4,4,77,46,10,1
4,4,78,54,13,0
4,4,79,30,4,1
4,4,80,63,10,1
4,4,81,99,21,5
4,4,82,50,11,3
4,4,83,63,14,1
4,4,84,41,9,0
4,4,85,39,7,2
4,4,86,56,9,2
4,4,87,55,11,2
4,4,88,56,9,0
4,4,89,24,6,0
4,4,90,103,21,2
4,4,91,36,7,4
4,4,92,93,18,4
4,4,93,47,12,2
4,4,94,209,47,4
4,4,95,37,8,2
4,4,96,22,6,1
4,4,97,53,12,2
4,4,98,19,4,0
4,5,1,894,191,164
4,5,2,315,69,59
4,5,3,104,26,20
4,6,1,2747,582,43
4,6,2,59,12,0
4,6,3,534,107,18
4,6,4,38,7,0
4,6,5,121,27,7
4,6,6,28,5,0
4,6,7,270,51,4
4,6,8,11,3,0
4,6,9,9,3,0
4,7,1,242,67,29
4,7,2,162,37,3
4,7,3,779,183,36
4,7,4,136,31,7
4,7,5,60,15,1
4,8,1,859,225,84
4,8,2,414,98,10
4,8,3,294,56,10
4,8,4,31,7,0
4,8,5,90,20,1
4,8,6,12,3,0
4,9,1,1071,221,117
4,9,2,632,132,21
4,9,3,103,20,3
4,9,4,294,64,6
4,9,5,490,107,24
4,9,6,69,17,1
4,9,7,340,63,12
4,9,8,340,65,13
4,9,9,414,85,11
4,9,10,290,65,14
4,9,11,253,51,14
4,9,12,196,44,19
4,9,13,210,48,17
4,9,14,96,21,3
4,9,15,233,56,5
4,9,16,226,50,3
4,9,17,359,71,13
4,9,18,532,105,22
4,9,19,448,89,6
4,9,20,674,134,18
4,9,21,79,17,11
4,9,22,64,15,7
4,9,23,191,40,11
4,9,24,59,13,3
4,9,25,434,95,13
4,9,26,285,62,17
4,9,27,130,37,4
4,9,28,150,34,10
4,9,29,239,51,8
4,9,30,40,11,0
4,9,31,142,29,6
4,9,32,83,17,4
4,9,33,248,53,10
4,9,34,73,20,1
4,9,35,231,53,15
4,9,36,161,32,11
4,9,37,124,26,8
4,9,38,306,59,15
4,9,39,384,71,22
4,9,40,92,21,2
4,9,41,145,28,4
4,9,42,100,20,1
4,9,43,12,4,0
4,9,44,120,22,2
4,9,45,167,40,5
4,9,46,63,12,5
4,9,47,123,27,5
4,9,48,131,29,8
4,9,49,144,28,6
4,9,50,86,18,4
4,9,51,82,17,0
4,9,52,92,16,7
4,9,53,66,13,0
4,9,54,25,7,1
4,9,55,208,34,2
4,9,56,60,14,1
4,9,57,37,8,3
4,9,58,272,60,15
4,9,59,144,30,9
4,9,60,182,47,11
4,9,61,361,73,30
4,9,62,61,16,4
4,9,63,66,15,1
4,9,64,55,14,1
4,9,65,55,12,2
4,9,66,359,79,32
4,9,67,48,11,0
4,9,68,176,40,6
4,9,69,34,8,1
4,9,70,82,14,1
4,9,71,179,36,0
4,9,72,176,38,6
4,9,73,115,23,4
4,9,74,164,29,0
4,9,75,27,8,0
4,9,76,84,17,0
4,9,77,89,28,0
4,9,78,88,18,2
4,9,79,48,9,4
4,9,80,203,43,8
4,9,81,43,8,0
4,9,82,108,20,1
4,9,83,95,17,1
4,9,84,62,12,0
4,9,85,59,13,2
4,9,86,34,7,1
4,9,87,82,16,5
4,9,88,26,6,2
4,9,89,199,45,14
4,9,90,258,47,7
4,9,91,120,22,4
4,9,92,26,3,0
4,9,93,102,21,1
4,9,94,38,10,3
4,9,95,100,19,2
4,9,96,77,18,4
4,9,97,70,14,3
4,9,98,127,25,3
4,9,99,83,17,3
4,9,100,56,12,1
4,9,101,42,8,2
4,9,102,31,12,1
4,9,103,60,13,0
4,9,104,66,14,4
4,9,105,115,22,7
4,9,106,138,26,0
4,9,107,57,13,0
4,9,108,64,13,1
4,9,109,62,12,0
4,9,110,51,13,1
4,9,111,86,15,7
4,9,112,65,16,1
4,9,113,50,10,1
4,9,114,45,9,1
4,9,115,147,33,2
4,9,116,52,14,1
4,9,117,258,48,8
4,9,118,54,13,3
4,9,119,41,9,3
4,9,120,89,17,2
4,9,121,66,14,3
4,9,122,67,13,1
4,9,123,46,9,2
4,9,124,54,11,5
4,9,125,29,8,5
4,9,126,11,3,1
4,9,127,37,9,0
4,9,128,187,39,5
4,9,129,58,13,2
4,9,130,16,3,2
4,9,131,147,25,4
4,9,132,71,15,2
4,9,133,59,13,0
4,9,134,35,7,1
4,9,135,65,15,3
4,9,136,101,21,0
4,9,137,68,14,0
4,10,1,1266,244,56
4,10,2,337,68,8
4,10,3,60,13,6
4,10,4,710,144,11
4,10,5,32,5,0
4,10,6,41,9,1
4,10,7,18,3,0
4,11,1,1525,311,168
4,11,2,180,42,16
4,11,3,90,22,8
4,11,4,208,38,14
4,11,5,89,19,5
4,11,6,122,26,10
4,11,7,248,50,10
4,12,1,735,131,40
4,13,1,429,104,39
4,13,2,510,131,33
4,13,3,508,109,25
4,13,4,463,100,17
4,13,5,850,187,45
4,13,6,333,72,14
4,13,7,235,44,8
4,13,8,302,71,19
4,13,9,209,38,4
4,13,10,355,74,12
4,13,11,202,47,12
4,13,12,302,59,5
4,13,13,392,81,12
4,13,14,196,38,5
4,13,15,341,72,7
4,13,16,246,60,15
4,13,17,184,36,11
4,13,18,77,18,4
4,13,19,91,21,6
4,13,20,227,51,6
4,13,21,74,15,2
4,13,22,52,11,0
4,13,23,64,10,3
4,13,24,98,16,0
4,13,25,51,11,3
4,13,26,131,28,8
4,13,27,34,9,2
4,13,28,81,17,5
4,13,29,185,42,3
4,14,1,1660,375,281
4,14,2,434,101,55
4,14,3,139,24,9
4,14,4,426,66,23
4,14,5,286,51,35
4,14,6,109,21,13
4,14,7,141,26,9
4,14,8,38,7,4
4,14,9,12,3,1
4,15,1,2208,449,164
4,15,2,582,119,31
4,15,3,123,23,2
4,16,1,877,203,37
4,17,1,375,82,26
4,17,2,8,3,1
4,17,3,5,3,0
4,17,4,112,20,0
4,17,5,24,7,0
4,18,1,1054,242,27
4,18,2,89,22,2
4,18,3,19,6,0
4,18,4,101,20,3
4,19,1,1715,358,32
4,19,2,1227,268,30
4,19,3,376,75,5
4,20,1,1407,275,169
4,20,2,232,49,7
4,20,3,187,36,3
4,20,4,281,50,16
4,20,5,149,25,13
4,20,6,218,45,15
4,20,7,273,52,18
4,20,8,330,69,24
4,20,9,82,12,1
4,20,10,171,37,5
4,20,11,313,68,27
4,20,12,181,36,12
4,20,13,411,77,14
4,20,14,246,42,16
4,20,15,251,54,25
4,20,16,202,39,7
4,20,17,237,47,21
4,20,18,159,34,3
4,20,19,245,52,14
4,20,20,203,36,16
4,20,21,341,71,16
4,20,22,390,88,29
4,20,23,264,51,23
4,20,24,310,56,16
4,20,25,272,52,5
4,20,26,333,74,34
4,20,27,407,83,31
4,20,28,134,23,4
4,20,29,33,7,2
4,20,30,123,27,3
4,20,31,148,34,6
4,20,32,76,16,0
4,20,33,410,75,33
4,20,34,265,49,11
4,20,35,193,38,7
4,20,36,572,122,13
4,20,37,214,46,4
4,20,38,168,38,10
4,20,39,182,36,8
4,20,40,252,50,10
4,20,41,93,16,5
4,20,42,66,13,5
4,20,43,80,16,6
4,20,44,88,17,0
4,20,45,548,113,18
4,20,46,802,160,38
4,20,47,437,98,24
4,20,48,400,75,25
4,20,49,666,131,23
4,20,50,30,6,2
4,20,51,83,19,8
4,20,52,156,31,4
4,20,53,423,83,7
4,20,54,213,43,11
4,20,55,84,14,7
4,20,56,157,31,6
4,20,57,555,118,1
4,20,58,69,14,6
4,20,59,76,11,2
4,20,60,35,7,4
4,20,61,138,23,9
4,20,62,278,46,10
4,20,63,210,43,7
4,20,64,55,12,7
4,20,65,211,31,9
4,20,66,50,11,2
4,20,67,11,4,1
4,20,68,68,13,5
4,20,69,109,21,6
4,20,70,71,13,3
4,20,71,30,6,1
4,20,72,247,47,5
4,20,73,243,51,3
4,20,74,182,36,2
4,20,75,164,31,1
4,20,76,239,47,5
4,20,77,158,34,4
4,20,78,182,36,3
4,20,79,67,12,3
4,20,80,192,45,16
4,20,81,59,9,3
4,20,82,116,19,0
4,20,83,67,9,3
4,20,84,91,22,2
4,20,85,21,3,1
4,20,86,127,24,1
4,20,87,219,41,10
4,20,88,135,27,4
4,20,89,111,27,3
4,20,90,59,12,0
4,20,91,59,9,6
4,20,92,214,42,6
4,20,93,79,18,3
4,20,94,38,7,5
4,20,95,31,4,0
4,20,96,150,29,5
4,20,97,157,30,9
4,20,98,197,44,9
4,20,99,137,32,3
4,20,100,161,34,9
4,20,101,254,43,7
4,20,102,123,21,5
4,21,1,575,169,73
4,21,2,19,3,0
4,22,1,1668,358,268
4,22,2,113,20,2
4,22,3,44,11,0
4,23,1,1009,207,63
4,23,2,540,93,40
4,23,3,119,25,2
4,23,4,117,18,5
4,23,5,167,31,0
4,23,6,116,17,4
4,23,7,508,97,25
4,23,8,61,9,0
4,23,9,35,7,0
4,23,10,219,37,7
4,23,11,284,48,6
4,23,12,191,36,11
4,23,13,208,32,2
4,23,14,89,16,3
4,23,15,196,29,2
4,23,16,91,19,1
4,23,17,142,26,7
4,23,18,21,4,0
4,23,19,52,10,1
4,23,20,100,16,9
4,23,21,91,15,1
4,23,22,152,25,4
4,23,23,18,3,0
4,23,24,154,29,4
4,23,25,57,11,1
4,23,26,32,5,0
4,23,27,35,5,0
4,23,28,39,6,4
4,24,1,625,137,22
4,24,2,705,147,11
4,24,3,324,64,5
4,24,4,207,44,5
4,24,5,162,38,0
4,24,6,380,73,5
4,24,7,309,54,3
4,25,1,6232,1351,1112
4,25,2,530,129,92
4,25,3,312,66,48
4,25,4,125,35,25
4,25,5,88,23,17
4,25,6,29,5,4
4,25,7,15,3,2
4,25,8,20,3,2
4,25,9,25,6,6
4,25,10,15,3,2
4,25,11,65,13,8
4,25,12,18,4,1
5,1,1,700,199,100
5,1,2,431,98,4
5,1,3,408,93,21
5,1,4,459,92,27
5,1,5,583,124,20
5,1,6,150,26,4
5,1,7,22,5,5
5,1,8,17,4,1
5,1,9,95,17,8
5,1,10,13,5,3
5,1,11,26,5,1
5,1,12,92,19,13
5,1,13,48,13,3
5,1,14,19,8,2
5,2,1,997,231,106
5,2,2,1150,250,114
5,2,3,194,39,2
5,2,4,225,41,9
5,2,5,111,25,5
5,2,6,27,6,1
5,2,7,63,12,2
5,2,8,98,21,10
5,2,9,157,29,6
5,2,10,50,8,0
5,2,11,73,16,3
5,2,12,163,27,9
5,2,13,33,7,0
5,2,14,17,4,0
5,2,15,45,6,0
5,2,16,40,11,1
5,2,17,31,9,2
5,2,18,20,4,1
5,2,19,29,6,5
5,2,20,44,10,2
5,2,21,61,13,3
5,2,22,100,20,2
5,2,23,12,3,0
5,2,24,23,5,0
5,2,25,58,14,0
5,2,26,361,85,33
5,2,27,12,3,0
5,2,28,78,19,5
5,2,29,23,6,0
5,3,1,1979,583,73
5,3,2,114,25,2
5,3,3,202,47,2
5,3,4,75,14,1
5,3,5,69,13,1
5,3,6,35,5,0
5,3,7,12,3,0
5,4,1,1346,287,43
5,4,2,71,12,4
5,4,3,1396,303,40
5,4,4,194,35,12
5,4,5,102,18,10
5,4,6,469,98,6
5,4,7,91,21,0
5,4,8,204,38,1
5,4,9,8,3,0
5,4,10,10,5,0
5,4,11,16,3,0
5,4,12,33,5,0
5,4,13,71,14,6
5,4,14,17,3,0
5,4,15,79,15,0
5,4,16,45,7,0
5,4,17,96,17,3
5,4,18,34,8,0
5,5,1,255,59,5
5,5,2,246,55,9
5,5,3,558,102,18
5,5,4,254,47,0
5,5,5,69,13,1
5,5,6,94,16,0
5,5,7,168,31,0
5,5,8,34,5,0
5,5,9,68,19,0
5,5,10,77,23,6
5,5,11,31,5,2
5,5,12,26,5,1
5,6,1,3677,911,636
5,6,2,126,29,11
5,6,3,164,30,7
5,6,4,69,18,11
5,6,5,749,158,52
5,6,6,176,35,12
5,6,7,704,179,71
5,6,8,762,158,87
5,6,9,816,184,105
5,6,10,303,70,6
5,6,11,218,52,19
5,6,12,393,105,45
5,6,13,250,61,21
5,6,14,91,22,13
5,6,15,104,23,11
5,6,16,170,53,31
5,6,17,37,7,3
5,6,18,45,7,1
